theme,symbol,name,category,family,exchange,aum
Communication Services,IXP,iShares Global Comm Services ETF,Communications,BlackRock Asset Management,PCX,557490304.0
Consumer Discretionary,FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Consumer Discretionary,Fidelity Investments,PCX,1681454848.0
Consumer Staples,FXG,First Trust Consumer Staples AlphaDEX Fund,Consumer Staples,First Trust Advisors,PCX,229267024.0
Energy,EMLP,First Trust North American Energy Infrastructure Fund,Energy,First Trust Advisors,PCX,4128263168.0
Equities,AMLP,Alerian MLP ETF,Energy,ALPS ETF Trust,PCX,12996421632.0
Financials,VFH,Vanguard Financials Index Fund ETF Shares,Financials,Vanguard Asset Management,PCX,14824029184.0
Health Care,XBI,SPDR S&P Biotech ETF,Health Care,State Street Global Advisors,PCX,9625333760.0
Industrials,IGF,iShares Global Infrastructure ETF,Utilities,BlackRock Asset Management,NGM,10930426880.0
Information Technology,SMH,VanEck Vectors Semiconductor ETF,Technology,VanEck Asset Management,NMS,68098555904.0
Materials,GDX,VanEck Vectors Gold Miners ETF,Materials,VanEck Asset Management,PCX,22654609408.0
Real Estate,VNQ,Vanguard Real Estate Index Fund ETF Shares,REITs,Vanguard Asset Management,PCX,72453496832.0
Utilities,FUTY,Fidelity MSCI Utilities Index ETF,Utilities,Fidelity Investments,PCX,2322820096.0
