symbol,name,theme,category,family,exchange,aum
ACES,ALPS Clean Energy ETF,Energy,Energy,ALPS ETF Trust,PCX,145330592
AIQ,Global X Artificial Intelligence & Technology ETF,Information Technology,Technology,Global X Funds,NMS,10853201920
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Industrials,Industrials,First Trust Advisors,NGM,10617638912
AMLP,Alerian MLP ETF,Equities,Energy,ALPS ETF Trust,PCX,12140239872
AMUB,UBS ETRACS Alerian MLP Index ETN Series B,Equities,Energy,UBS Asset Management,PCX,36825060
AMZA,InfraCap MLP ETF,Equities,Energy,Virtus,PCX,445100000
AQWA,Global X Clean Water ETF,Utilities,Materials,Global X Funds,NMS,23788764
ARKF,ARK Fintech Innovation ETF,Financials,Technology,ARK ETF Trust,PCX,834903808
ARKG,ARK Genomic Revolution ETF,Health Care,Health Care,ARK ETF Trust,BTS,1306909696
ARKQ,ARK Autonomous Technology & Robotics ETF,Industrials,Technology,ARK ETF Trust,BTS,2405846528
ARKW,ARK Next Generation Internet ETF,Information Technology,Technology,ARK ETF Trust,PCX,1831486464
AWAY,ETFMG Travel Tech ETF,Equities,Consumer Discretionary,ETF Management,PCX,24425130
BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health Care,Health Care,Virtus,PCX,44627696
BBH,VanEck Vectors Biotech ETF,Health Care,Health Care,VanEck Asset Management,NMS,366866496
BBP,Virtus LifeSci Biotech Products ETF,Health Care,Health Care,Virtus,PCX,77915448
BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF,Real Estate,REITs,JPMorgan Asset Management,BTS,1229476480
BEDZ,AdvisorShares Hotel ETF,Consumer Discretionary,Consumer Discretionary,AdvisorShares,PCX,1913887
BETZ,Roundhill Sports Betting & iGaming ETF,Consumer Discretionary,Consumer Discretionary,Roundhill Investments,PCX,47843280
BIZD,VanEck Vectors BDC Income ETF,Financials,Financials,VanEck Asset Management,PCX,1570142976
BLCN,Siren Nasdaq NexGen Economy ETF,Information Technology,Technology,SRN Advisors,NMS,36410508
BLDG,Cambria Global Real Estate ETF,Real Estate,REITs,Cambria ETF Trust,BTS,35997784
BLOK,Amplify Transformational Data Sharing ETF,Information Technology,Technology,Amplify ETFs,PCX,1425362176
BMED,BlackRock Future Health ETF,Health Care,Health Care,BlackRock Asset Management,PCX,10344845
BTEK,BlackRock Future Tech ETF,Information Technology,Technology,BlackRock Asset Management,PCX,13414171
CARZ,First Trust NASDAQ Global Auto Index Fund,Consumer Discretionary,Consumer Discretionary,First Trust Advisors,NGM,53693264
CGW,Invesco S&P Global Water Index ETF,Utilities,Materials,Invesco Investment Management,PCX,997561088
CIBR,First Trust NASDAQ Cybersecurity ETF,Information Technology,Technology,First Trust Advisors,NMS,13681273856
CLIX,ProShares Long Online/Short Stores ETF,Consumer Discretionary,Equities,ProShares,PCX,7275285
CLOU,Global X Cloud Computing ETF Global X Cloud Computing ETF,Information Technology,Technology,Global X Funds,NGM,268760608
CNCR,Loncar Cancer Immunotherapy ETF,Health Care,Health Care,Loncar Investments,NGM,6946185
CNRG,SPDR Kensho Clean Power ETF,Energy,Energy,State Street Global Advisors,PCX,263544912
COPX,Global X Copper Miners ETF,Materials,Materials,Global X Funds,PCX,7991804928
CRAK,VanEck Vectors Oil Refiners ETF,Energy,Energy,VanEck Asset Management,PCX,171679328
CUT,Invesco MSCI Global Timber ETF,Materials,Materials,Invesco Investment Management,PCX,30585048
CVY,Invesco Zacks Multi-Asset Income ETF,Equities,Equities,Invesco Investment Management,PCX,120479584
DFNL,Davis Select Financial ETF,Financials,Financials,Davis ETFs,BTS,457499776
DTEC,ALPS Disruptive Technologies ETF,Information Technology,Technology,ALPS ETF Trust,PCX,74424080
EATZ,AdvisorShares Restaurant ETF,Equities,Consumer Discretionary,AdvisorShares,PCX,2177281
EINC,VanEck Vectors Energy Income ETF,Energy,Energy,VanEck Asset Management,PCX,152866096
EMLP,First Trust North American Energy Infrastructure Fund,Energy,Energy,First Trust Advisors,PCX,3934600192
ENFR,Alerian Energy Infrastructure ETF,Energy,Energy,ALPS ETF Trust,PCX,459781408
ESPO,VanEck Vectors Video Gaming and eSports ETF,Consumer Discretionary,Technology,VanEck Asset Management,NGM,241256064
EVX,VanEck Vectors Environmental Services ETF,Equities,Industrials,VanEck Asset Management,PCX,95227072
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Consumer Discretionary,Consumer Discretionary,Fidelity Investments,PCX,1803707648
FENY,Fidelity MSCI Energy Index ETF,Energy,Energy,Fidelity Investments,PCX,1904956544
FLYT,Direxion Flight to Safety Strategy ETF,Equities,Equities,Direxion Funds,PCX,13173458
FMAT,Fidelity MSCI Materials Index ETF,Equities,Materials,Fidelity Investments,PCX,615808192
FMF,First Trust Managed Futures Strategy Fund,Equities,Derivatives,First Trust Advisors,PCX,259685888
FPRO,Fidelity Real Estate Investment ETF,Real Estate,REITs,Fidelity Investments,BTS,15986272
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,REITs,Fidelity Investments,PCX,1435455360
FRI,First Trust S&P REIT Index Fund,Real Estate,REITs,First Trust Advisors,PCX,175929200
FTEC,Fidelity MSCI Information Technology Index ETF,Information Technology,Technology,Fidelity Investments,PCX,21380151296
FTXG,First Trust Nasdaq Food & Beverage ETF,Consumer Staples,Consumer Staples,First Trust Advisors,NGM,22202110
FTXH,First Trust Nasdaq Pharmaceuticals ETF,Health Care,Health Care,First Trust Advisors,NGM,35038016
FUTY,Fidelity MSCI Utilities Index ETF,Utilities,Utilities,Fidelity Investments,PCX,2346682880
FXD,First Trust Consumer Discretionary AlphaDEX Fund,Consumer Discretionary,Consumer Discretionary,First Trust Advisors,PCX,261532448
FXG,First Trust Consumer Staples AlphaDEX Fund,Consumer Staples,Consumer Staples,First Trust Advisors,PCX,218673872
FXH,First Trust Health Care AlphaDEX Fund,Health Care,Health Care,First Trust Advisors,PCX,874081536
FXL,First Trust Technology AlphaDEX Fund,Information Technology,Technology,First Trust Advisors,PCX,1705110144
FXN,First Trust Energy AlphaDEX Fund,Energy,Energy,First Trust Advisors,PCX,1249931648
FXO,First Trust Financials AlphaDEX Fund,Financials,Financials,First Trust Advisors,PCX,1014748864
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund,Industrials,Industrials,First Trust Advisors,PCX,684745472
GAMR,Wedbush ETFMG Video Game Tech ETF,Information Technology,Technology,ETF Management,PCX,40894544
GDX,VanEck Vectors Gold Miners ETF,Materials,Materials,VanEck Asset Management,PCX,27132413952
GDXJ,VanEck Vectors Junior Gold Miners ETF,Materials,Materials,VanEck Asset Management,PCX,8646438912
GII,SPDR S&P Global Infrastructure ETF,Utilities,Utilities,State Street Global Advisors,PCX,964808448
GLIF,AGFiQ Global Infrastructure ETF,Industrials,Utilities,AGF Investments,PCX,3757175
GNR,SPDR S&P Global Natural Resources ETF,Materials,Materials,State Street Global Advisors,PCX,4878085632
GOEX,Global X Gold Explorers ETF,Materials,Materials,Global X Funds,PCX,127785624
GQRE,FlexShares Global Quality Real Estate Index Fund,Real Estate,REITs,Flexshares Trust,PCX,400186752
HACK,ETFMG Prime Cyber Security ETF,Information Technology,Technology,ETF Management,PCX,2465017856
HAP,VanEck Vectors Natural Resources ETF,Materials,Materials,VanEck Asset Management,PCX,334736992
HART,IQ Healthy Hearts ETF,Health Care,Health Care,IndexIQ,PCX,8669279
HIPS,GraniteShares HIPS US High Income ETF,Financials,Equities,Graniteshares,PCX,102554104
HNDL,Strategy Shares Nasdaq 7 Handl Index ETF,Equities,Equities,Strategy Shares,NGM,645654720
HOMZ,The Hoya Capital Housing ETF,Real Estate,Residential Real Estate,Hoya Capital Real Estate,PCX,33966324
HTEC,Robo Global Healthcare Technology and Innovation ETF,Health Care,Health Care,Robo Global,PCX,55841964
HYIN,WisdomTree Alternative Income Fund,Real Estate,REITs,WisdomTree Asset Management,BTS,51503016
IBUY,Amplify Online Retail ETF,Consumer Discretionary,Consumer Discretionary,Amplify ETFs,PCX,117876448
ICF,iShares Cohen & Steers REIT ETF,Real Estate,REITs,BlackRock Asset Management,BTS,2054818304
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,Energy,Energy,BlackRock Asset Management,BTS,535960608
IFGL,iShares International Developed Real Estate ETF,Real Estate,REITs,BlackRock Asset Management,NGM,85899232
IGE,iShares North American Natural Resources ETF,Energy,Materials,BlackRock Asset Management,BTS,803296064
IGF,iShares Global Infrastructure ETF,Industrials,Utilities,BlackRock Asset Management,NGM,10599046144
IGM,iShares Expanded Tech Sector ETF,Information Technology,Technology,BlackRock Asset Management,PCX,11025057792
IGV,iShares Expanded Tech-Software Sector ETF,Information Technology,Technology,BlackRock Asset Management,BTS,16675979264
IHE,iShares U.S. Pharmaceuticals ETF,Health Care,Health Care,BlackRock Asset Management,PCX,912869184
IHI,iShares U.S. Medical Devices ETF,Health Care,Health Care,BlackRock Asset Management,PCX,2991947776
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF,Real Estate,REITs,Pacer,PCX,113869024
IVOL,Quadratic Interest Rate Volatility and Inflation Hedge ETF New,Equities,Inflation-Protected Securities,Exchange Traded Concepts,PCX,313852288
IVRA,Invesco Real Assets ESG ETF,Equities,Real Estate Services,Invesco Investment Management,BTS,12015832
